epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,477.827,0.49663,0.44034,0.99124,0.8897,0.69907,0.77418,0.54772,1.087,1.01125,1.38088,0.000791316,0.000791316,0.000791316
56,491.525,0.55219,0.50736,1.06431,0.88525,0.69478,0.76517,0.54223,1.07763,1.02662,1.3732,0.000800525,0.000800525,0.000800525
57,504.85,0.5133,0.44644,1.00146,0.88525,0.69478,0.76517,0.54223,1.07763,1.02662,1.3732,0.000809536,0.000809536,0.000809536
58,517.953,0.58848,0.43306,1.03978,0.88695,0.69398,0.76348,0.542,1.06445,1.0288,1.36478,0.000818349,0.000818349,0.000818349
59,531.188,0.58531,0.47516,1.01069,0.88695,0.69398,0.76348,0.542,1.06445,1.0288,1.36478,0.000826964,0.000826964,0.000826964
60,544.356,0.56985,0.42709,1.02325,0.90089,0.69883,0.77447,0.55317,1.04504,0.99038,1.35572,0.000835381,0.000835381,0.000835381
61,557.637,0.53248,0.48873,1.04241,0.90089,0.69883,0.77447,0.55317,1.04504,0.99038,1.35572,0.0008436,0.0008436,0.0008436
62,571.129,0.49808,0.40067,1.03521,0.8918,0.71081,0.78372,0.56044,1.04354,0.96449,1.36226,0.000851621,0.000851621,0.000851621
63,584.209,0.43976,0.38557,1.02372,0.8918,0.71081,0.78372,0.56044,1.04354,0.96449,1.36226,0.000859444,0.000859444,0.000859444
64,597.67,0.5412,0.41038,1.03475,0.90302,0.71578,0.7938,0.56837,1.04233,0.94586,1.36711,0.000867069,0.000867069,0.000867069
65,611.023,0.56551,0.43079,1.03865,0.90302,0.71578,0.7938,0.56837,1.04233,0.94586,1.36711,0.000874496,0.000874496,0.000874496
66,624.293,0.533,0.46042,1.04348,0.90288,0.71965,0.79675,0.57338,1.03349,0.93492,1.35991,0.000881725,0.000881725,0.000881725
67,637.691,0.44871,0.46333,1.01206,0.90288,0.71965,0.79675,0.57338,1.03349,0.93492,1.35991,0.000888756,0.000888756,0.000888756
68,651.217,0.49158,0.46671,1.01084,0.90677,0.71703,0.80046,0.57909,1.01529,0.9318,1.33686,0.000895589,0.000895589,0.000895589
69,664.48,0.51526,0.43587,1.00153,0.90677,0.71703,0.80046,0.57909,1.01529,0.9318,1.33686,0.000902224,0.000902224,0.000902224
70,678.013,0.55383,0.46778,1.02479,0.89767,0.72146,0.7967,0.5815,1.00027,0.94197,1.31362,0.000908661,0.000908661,0.000908661
71,691.274,0.5429,0.41577,0.97509,0.89767,0.72146,0.7967,0.5815,1.00027,0.94197,1.31362,0.0009149,0.0009149,0.0009149
72,704.441,0.42831,0.38706,0.96664,0.90297,0.71614,0.79488,0.5757,1.01468,0.96211,1.31841,0.000920941,0.000920941,0.000920941
73,720.59,0.53545,0.42623,1.03262,0.90297,0.71614,0.79488,0.5757,1.01468,0.96211,1.31841,0.000926784,0.000926784,0.000926784
74,733.895,0.43146,0.33141,0.99077,0.90219,0.71553,0.79305,0.56625,1.04045,0.98921,1.33894,0.000932429,0.000932429,0.000932429
75,747.155,0.45914,0.38931,0.96646,0.90219,0.71553,0.79305,0.56625,1.04045,0.98921,1.33894,0.000937876,0.000937876,0.000937876
76,760.591,0.64577,0.53176,1.05593,0.90531,0.70972,0.79171,0.56083,1.05443,1.00045,1.35228,0.000943125,0.000943125,0.000943125
77,773.623,0.46963,0.3579,1.00969,0.90531,0.70972,0.79171,0.56083,1.05443,1.00045,1.35228,0.000948176,0.000948176,0.000948176
78,786.968,0.40364,0.35589,0.94562,0.90229,0.71057,0.79388,0.56198,1.04505,0.99961,1.34545,0.000953029,0.000953029,0.000953029
79,800.24,0.48954,0.38195,0.93248,0.90229,0.71057,0.79388,0.56198,1.04505,0.99961,1.34545,0.000957684,0.000957684,0.000957684
80,813.514,0.42167,0.37049,0.96078,0.90425,0.70839,0.79366,0.56026,1.04313,0.99431,1.34756,0.000962141,0.000962141,0.000962141
81,826.904,0.37791,0.34624,0.98505,0.90425,0.70839,0.79366,0.56026,1.04313,0.99431,1.34756,0.0009664,0.0009664,0.0009664
82,840.266,0.52044,0.36768,1.0097,0.90987,0.70633,0.79175,0.55669,1.05142,1.00122,1.35983,0.000970461,0.000970461,0.000970461
83,853.486,0.57825,0.48674,1.0283,0.90987,0.70633,0.79175,0.55669,1.05142,1.00122,1.35983,0.000974324,0.000974324,0.000974324
84,866.686,0.45623,0.35024,0.96341,0.90653,0.70797,0.79088,0.55404,1.05358,1.01675,1.36511,0.000977989,0.000977989,0.000977989
85,880.142,0.44071,0.35083,0.93159,0.90653,0.70797,0.79088,0.55404,1.05358,1.01675,1.36511,0.000981456,0.000981456,0.000981456
86,893.274,0.45467,0.35322,1.01054,0.91363,0.70343,0.79257,0.55926,1.03966,1.00788,1.35974,0.000984725,0.000984725,0.000984725
87,906.745,0.53255,0.42145,1.03099,0.91363,0.70343,0.79257,0.55926,1.03966,1.00788,1.35974,0.000987796,0.000987796,0.000987796
88,920.248,0.48403,0.42856,1.02439,0.90824,0.70931,0.79636,0.5658,1.03151,1.00231,1.3593,0.000990669,0.000990669,0.000990669
89,933.675,0.6155,0.43841,1.14885,0.90824,0.70931,0.79636,0.5658,1.03151,1.00231,1.3593,0.000993344,0.000993344,0.000993344
90,948.129,0.46295,0.34526,0.97916,0.90639,0.70793,0.79729,0.56787,1.02555,0.99927,1.35656,0.000995821,0.000995821,0.000995821
91,963.885,0.49427,0.51254,1.02829,0.90639,0.70793,0.79729,0.56787,1.02555,0.99927,1.35656,0.0009981,0.0009981,0.0009981
92,977.513,0.54388,0.41155,1.0742,0.90616,0.7049,0.79617,0.56754,1.03692,1.00052,1.35952,0.00100018,0.00100018,0.00100018
93,991.389,0.48141,0.39531,1.06363,0.90616,0.7049,0.79617,0.56754,1.03692,1.00052,1.35952,0.00100206,0.00100206,0.00100206
94,1005.3,0.48704,0.40636,0.97861,0.90837,0.7044,0.79338,0.56361,1.04017,1.00283,1.35214,0.00100375,0.00100375,0.00100375
95,1019.1,0.52374,0.39208,0.99554,0.90837,0.7044,0.79338,0.56361,1.04017,1.00283,1.35214,0.00100524,0.00100524,0.00100524
96,1033.36,0.55377,0.40035,1.01374,0.91017,0.70028,0.7921,0.56232,1.04172,1.00159,1.35161,0.00100653,0.00100653,0.00100653
97,1047.22,0.48952,0.37684,0.92825,0.91017,0.70028,0.7921,0.56232,1.04172,1.00159,1.35161,0.00100762,0.00100762,0.00100762
98,1061.69,0.5305,0.39908,0.99147,0.90181,0.70125,0.79175,0.56368,1.04053,1.00235,1.35607,0.00100851,0.00100851,0.00100851
99,1075.61,0.40822,0.33207,0.9632,0.90181,0.70125,0.79175,0.56368,1.04053,1.00235,1.35607,0.0010092,0.0010092,0.0010092
100,1090.33,0.40365,0.3357,0.94897,0.89207,0.70028,0.78984,0.55874,1.05766,1.00941,1.37571,0.0010097,0.0010097,0.0010097
101,1104.89,0.48628,0.41878,1.0217,0.89207,0.70028,0.78984,0.55874,1.05766,1.00941,1.37571,0.00101,0.00101,0.00101
102,1119.57,0.50863,0.38742,0.97848,0.89793,0.69229,0.78915,0.55198,1.08025,1.01216,1.39798,0.0010001,0.0010001,0.0010001
103,1133.93,0.50484,0.36738,1.0767,0.89793,0.69229,0.78915,0.55198,1.08025,1.01216,1.39798,0.0009902,0.0009902,0.0009902
104,1148.06,0.43198,0.34208,0.96495,0.88988,0.6955,0.78795,0.54872,1.09318,1.01801,1.41093,0.0009803,0.0009803,0.0009803
105,1162.57,0.41312,0.34335,0.94358,0.88988,0.6955,0.78795,0.54872,1.09318,1.01801,1.41093,0.0009704,0.0009704,0.0009704
106,1176.96,0.51371,0.41172,1.0077,0.88756,0.69592,0.78636,0.55018,1.08526,1.02237,1.40372,0.0009605,0.0009605,0.0009605
107,1193.76,0.45578,0.39662,0.97788,0.88756,0.69592,0.78636,0.55018,1.08526,1.02237,1.40372,0.0009506,0.0009506,0.0009506
108,1208.05,0.42452,0.34814,0.95894,0.89397,0.69362,0.78563,0.55755,1.06091,1.01905,1.37803,0.0009407,0.0009407,0.0009407
109,1221.59,0.40822,0.40237,0.97107,0.89397,0.69362,0.78563,0.55755,1.06091,1.01905,1.37803,0.0009308,0.0009308,0.0009308
110,1233.18,0.35579,0.3085,0.92902,0.88248,0.70197,0.78553,0.5615,1.04468,1.01615,1.35762,0.0009209,0.0009209,0.0009209
111,1245.31,0.43163,0.36485,0.93525,0.88248,0.70197,0.78553,0.5615,1.04468,1.01615,1.35762,0.000911,0.000911,0.000911
112,1254.55,0.50747,0.37536,1.03646,0.88564,0.69979,0.78516,0.56394,1.04196,1.00265,1.34602,0.0009011,0.0009011,0.0009011
113,1262.23,0.44045,0.40141,0.92879,0.88564,0.69979,0.78516,0.56394,1.04196,1.00265,1.34602,0.0008912,0.0008912,0.0008912
114,1270.32,0.5362,0.45147,1.04948,0.89131,0.70343,0.78688,0.56713,1.03381,0.98189,1.33637,0.0008813,0.0008813,0.0008813
115,1278.14,0.53157,0.43825,1.00269,0.89131,0.70343,0.78688,0.56713,1.03381,0.98189,1.33637,0.0008714,0.0008714,0.0008714
116,1285.94,0.4168,0.36031,0.94023,0.89432,0.70536,0.79016,0.57258,1.02408,0.95635,1.33084,0.0008615,0.0008615,0.0008615
117,1293.86,0.43923,0.38887,0.95602,0.89432,0.70536,0.79016,0.57258,1.02408,0.95635,1.33084,0.0008516,0.0008516,0.0008516
