epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,121.62,1.98105,1.63061,2.80971,0.53837,0.49994,0.43666,0.17947,1.95057,3.03958,2.69488,0.000573965,0.000573965,0.000573965
17,129.198,1.71188,1.4707,2.28164,0.47997,0.475,0.4013,0.15691,2.01703,3.50807,2.74655,0.000607728,0.000607728,0.000607728
18,136.796,1.6125,1.28997,2.1194,0.45698,0.456,0.38142,0.14196,2.08136,3.65849,2.78399,0.000641095,0.000641095,0.000641095
19,144.42,1.61914,1.3305,2.15561,0.45948,0.44305,0.37775,0.13965,2.11275,3.52328,2.78502,0.000674066,0.000674066,0.000674066
20,152.053,1.56849,1.47489,2.13356,0.46132,0.43147,0.37301,0.13765,2.11492,3.48209,2.75868,0.000706641,0.000706641,0.000706641
21,159.719,1.65073,1.50683,2.1513,0.40007,0.46375,0.36058,0.13458,2.08464,3.52679,2.71043,0.00073882,0.00073882,0.00073882
22,167.743,1.6655,1.53708,2.21406,0.38544,0.46314,0.35192,0.13359,2.04065,3.5353,2.65107,0.000770603,0.000770603,0.000770603
23,175.631,1.5213,1.3953,2.14359,0.36559,0.48444,0.34243,0.13352,1.98918,3.54457,2.59698,0.00080199,0.00080199,0.00080199
24,183.543,1.67442,1.34967,2.23328,0.35512,0.46713,0.33183,0.1295,1.97952,3.62436,2.58493,0.000832981,0.000832981,0.000832981
25,191.363,1.55196,1.40589,2.09072,0.3568,0.42682,0.32181,0.12301,2.01361,3.9211,2.60762,0.000863576,0.000863576,0.000863576
26,199.193,1.45077,1.33415,1.97605,0.36728,0.4037,0.32124,0.1201,2.06927,4.06165,2.6424,0.000893775,0.000893775,0.000893775
27,206.994,1.70377,1.89388,2.10151,0.42414,0.38633,0.34388,0.13225,2.06357,3.67068,2.6137,0.000923578,0.000923578,0.000923578
28,214.792,1.42403,1.35639,1.95975,0.42414,0.38633,0.34388,0.13225,2.06357,3.67068,2.6137,0.000952985,0.000952985,0.000952985
29,222.591,1.47766,1.4872,2.04034,0.45732,0.41855,0.3803,0.15825,1.97548,3.16252,2.52542,0.000981996,0.000981996,0.000981996
30,230.325,1.37949,1.29796,1.97679,0.47969,0.44958,0.40803,0.18139,1.91493,2.71677,2.46,0.00101061,0.00101061,0.00101061
31,238.046,1.4204,1.37832,1.94213,0.47969,0.44958,0.40803,0.18139,1.91493,2.71677,2.46,0.00103883,0.00103883,0.00103883
32,245.75,1.54146,1.34371,1.99476,0.50274,0.45915,0.42697,0.19564,1.89087,2.465,2.43494,0.00106665,0.00106665,0.00106665
33,253.424,1.4549,1.43965,1.97984,0.52671,0.46665,0.44178,0.19926,1.90126,2.37337,2.43454,0.00109408,0.00109408,0.00109408
34,261.074,1.5732,1.49443,2.05252,0.52671,0.46665,0.44178,0.19926,1.90126,2.37337,2.43454,0.00112111,0.00112111,0.00112111
35,268.783,1.39688,1.29235,1.9337,0.55346,0.46738,0.45804,0.2093,1.89956,2.28379,2.42714,0.00114775,0.00114775,0.00114775
36,276.477,1.23229,1.30313,1.82133,0.57523,0.47004,0.46865,0.21738,1.90094,2.25031,2.42347,0.00117399,0.00117399,0.00117399
37,284.177,1.51544,1.46217,1.95614,0.57523,0.47004,0.46865,0.21738,1.90094,2.25031,2.42347,0.00119983,0.00119983,0.00119983
38,291.881,1.41932,1.23944,1.92908,0.55359,0.45963,0.4545,0.21204,1.92321,2.26292,2.44382,0.00122528,0.00122528,0.00122528
39,299.549,1.44192,1.39549,1.97855,0.52011,0.46423,0.43487,0.19852,1.98133,2.31233,2.5024,0.00125033,0.00125033,0.00125033
40,307.266,1.30636,1.16039,1.83626,0.52011,0.46423,0.43487,0.19852,1.98133,2.31233,2.5024,0.00127498,0.00127498,0.00127498
41,314.953,1.30593,1.23561,1.91001,0.52789,0.47416,0.44637,0.20179,2.0144,2.32049,2.54144,0.00129924,0.00129924,0.00129924
