epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,4206.64,0.89165,0.73002,1.11331,0.89047,0.6957,0.79248,0.6353,0.71506,0.60961,1.00793,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,4284.02,0.89734,0.72902,1.11492,0.89287,0.69352,0.79261,0.63583,0.71406,0.61009,1.00744,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,4359.47,0.8934,0.7264,1.1132,0.89549,0.69113,0.79345,0.63691,0.71285,0.60804,1.00646,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,4432.72,0.88843,0.72221,1.11216,0.89136,0.69398,0.79325,0.63676,0.71291,0.60778,1.00633,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,4506.61,0.88548,0.72301,1.11022,0.8922,0.69436,0.7937,0.63753,0.71166,0.60657,1.00583,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,4583.54,0.88867,0.7193,1.10937,0.89197,0.69524,0.79448,0.63757,0.71047,0.60448,1.00475,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,4658,0.88843,0.72036,1.11087,0.89178,0.69509,0.79479,0.63839,0.70933,0.60283,1.00416,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,4731.2,0.88448,0.71796,1.10924,0.89318,0.69518,0.79506,0.63859,0.70884,0.60174,1.00415,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,4808.99,0.88376,0.71646,1.1086,0.89727,0.6925,0.79499,0.63845,0.70825,0.60143,1.00391,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,4881.74,0.88287,0.71454,1.10904,0.89716,0.69273,0.79561,0.63908,0.70777,0.60096,1.00328,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,4955.41,0.88076,0.71301,1.10801,0.89914,0.69212,0.79565,0.6393,0.70688,0.60002,1.00267,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,5034.18,0.88072,0.71299,1.10449,0.89797,0.69311,0.79602,0.63989,0.70668,0.59898,1.0022,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,5108.09,0.887,0.71872,1.10903,0.89684,0.69326,0.79625,0.64019,0.70611,0.59839,1.00171,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,5182.03,0.87766,0.70868,1.10425,0.89521,0.69395,0.7966,0.64026,0.7062,0.59825,1.00191,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,5255.79,0.87345,0.70743,1.10213,0.89461,0.69407,0.79662,0.64061,0.70555,0.59719,1.00163,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,5333.82,0.87308,0.70191,1.10025,0.89469,0.694,0.79665,0.64071,0.70517,0.5969,1.00125,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,5407.26,0.87465,0.70741,1.10588,0.89609,0.69399,0.79693,0.64104,0.70476,0.59635,1.00112,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,5481.6,0.87479,0.70489,1.10528,0.89576,0.69448,0.79708,0.64124,0.70436,0.59605,1.00088,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
