epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,20914.4,1.17835,1.46267,1.71411,0.86234,0.57934,0.66941,0.3706,1.53375,1.43923,2.18286,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,21183.2,1.15623,1.42153,1.69529,0.88418,0.57685,0.6845,0.38407,1.51002,1.33275,2.15228,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,21469.1,1.1622,1.45486,1.6998,0.88026,0.57996,0.67653,0.3853,1.49828,1.38036,2.13786,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,21749.2,1.16356,1.44984,1.70313,0.88483,0.58805,0.68104,0.38092,1.52665,1.35021,2.1598,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,22033.1,1.15683,1.43636,1.69782,0.8883,0.57897,0.67923,0.3906,1.46317,1.36564,2.12578,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,22301.8,1.16355,1.43523,1.70242,0.8804,0.57436,0.66957,0.38495,1.4875,1.38476,2.13319,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,22583.3,1.15034,1.42154,1.69487,0.87579,0.57561,0.67244,0.3858,1.48,1.36675,2.15425,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,22852.6,1.16378,1.45952,1.70087,0.87606,0.57872,0.6746,0.38976,1.46635,1.4059,2.08786,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,23117.6,1.15082,1.41571,1.69169,0.8769,0.58432,0.68329,0.39514,1.44533,1.36212,2.10581,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,23389.4,1.16152,1.43007,1.69192,0.89322,0.57782,0.67901,0.38649,1.46527,1.38086,2.12088,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,23645.6,1.15995,1.4245,1.69425,0.88314,0.57498,0.66715,0.38522,1.47144,1.45591,2.11974,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,23901.5,1.14279,1.41468,1.68738,0.91094,0.56565,0.66666,0.3863,1.44617,1.43207,2.10619,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,24156.4,1.13743,1.40995,1.67607,0.87978,0.57747,0.67144,0.38926,1.46106,1.34089,2.11934,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,24410,1.13936,1.39873,1.67605,0.90161,0.58737,0.67766,0.38918,1.46854,1.29676,2.13457,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,24642.8,1.14842,1.43402,1.67807,0.90199,0.57838,0.67587,0.383,1.50147,1.33392,2.2028,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,24870.4,1.14331,1.40358,1.68456,0.85443,0.58992,0.6676,0.38871,1.4647,1.33569,2.12875,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,25100.3,1.13722,1.42456,1.67794,0.89421,0.57312,0.66938,0.38036,1.46831,1.35315,2.13655,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,25329.4,1.13341,1.39179,1.66721,0.90839,0.56814,0.67048,0.38084,1.47701,1.34252,2.16246,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,25557.9,1.13283,1.41451,1.67384,0.83924,0.59772,0.67107,0.37924,1.48111,1.36584,2.17449,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,25786.5,1.1343,1.42095,1.66319,0.84786,0.59054,0.67176,0.38085,1.47744,1.37282,2.18092,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,26019.1,1.12897,1.38962,1.67399,0.89652,0.56005,0.6696,0.38311,1.47166,1.33645,2.13894,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,26248.5,1.13768,1.39761,1.67716,0.87355,0.58058,0.67209,0.38306,1.47442,1.33202,2.1356,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,26489.9,1.12625,1.37477,1.6617,0.86974,0.57125,0.65959,0.37162,1.5126,1.35146,2.20507,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,26730,1.11759,1.3821,1.65421,0.865,0.58611,0.66515,0.3829,1.48989,1.32472,2.17831,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,26968.8,1.12156,1.38458,1.66479,0.84128,0.60299,0.68341,0.38858,1.47655,1.2961,2.16014,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,27207.2,1.11114,1.36845,1.65692,0.88498,0.56752,0.67821,0.38173,1.504,1.31468,2.19728,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,27447,1.13091,1.41971,1.65973,0.88807,0.58681,0.68206,0.39102,1.46715,1.29923,2.16852,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,27680.2,1.11302,1.37952,1.65737,0.86262,0.59391,0.68036,0.39231,1.46335,1.28868,2.15826,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
